default
師匠,師傅
主人公の師匠。Bランクの実力派。主に戦士系のカードを使い、特にサムライモンスターを好んで使う。\n　孤児になった主人公を拾い、小さいころから育ててきた。拾ったときは自身もまだ10代で、子供の育て方などまったく分からない中、まっすぐに育つように努力してきた。カードの使い方だけではなく、文字の読み書きなども教え、主人公にとっては師匠であると同時に年の離れた姉のような存在である。\n　全体的に運動神経がよく、性的なことも上手い。また魔力の扱いが卓越しているので彼女の魅了魔法を受けると実力のあるカードマスターであっても一瞬で思考能力を奪われ、恍惚感に茫然とすることしかできなくなる。,主角的師傅。是B階級的中堅份子。主要使用戰士種類的卡片，特別喜歡使用武士怪獸。\n　扶養成為孤兒的主角長大。與主角相遇的時候她自己還只有10多歲，當時對於育兒完全沒有概念，只憑努力將其扶養成人。她教主角使用卡片、閱讀文字，對主角來說師傅可以說是年長十歲的姊姊。\n　她的運動神經很少，也擅長性愛。同時也擅長操作魔力，受到她的魅惑魔法的卡片玩家會在一瞬間被奪走思考能力，只能品嘗恍惚感。
きゃあ！あいたた・・・。,呀啊！好痛喔・・・。
たはぁー。強くなったわねぇ。練習デッキとはいえ、負けちゃった。,呼～。變強了呢。雖然我是用練習牌組，但這確實是你贏了。
しっかり修行の成果が出ているじゃない。\nオッケー、オッケー♪\nこれなら街まで安全に行けるわ。,你的修行成功得到結果了呢。\nＯＫ、ＯＫ～\n有這實力去街上沒有問題了。
でも知っての通り、王都の向こう側は魔族の領地。\n強い魔物がうようよいるから、まだ行っちゃダメよ。,但是你也知道的，出了王都就是魔族的領土。\n到處都是強大魔物，還不可以去喔。
そうね、とりあえずの目標は\nギルドに入ってAランクのカードマスターになること。\n魔族領に入るのはそれからにしなさい。,總之，你先把目標訂為\n加入公會成為A階級的卡片玩家吧。\n在那之後才可以考慮進入魔族領土的事情。
あなたは亡くなったお父さんのように、\n強いマスターを目指している、そうでしょ？\nそれに…。,你也想像過世的父親一樣，\n成為強大的卡片玩家對吧？\n而且…。
妹さん、だっけ。魔族領の近くではぐれたのよね？,還有妹妹對吧。你們是在魔族領地附近分別的吧？
はぐれたのはわたしのところに修行に来る前だから、\nもう8年以上前か。,分別時是來我這裡修行以前，\n那已經是八前以上的事情了。
心配だろうけれど、\n急いで無理をしても結果は伴わないわ。\n安全に少しづつ強くなりなさい。分かった？,我知道你很擔心，\n但是欲速則不達喔。\n你必須確保安全的同時逐漸變強才行。了解了嗎？
いい返事ね。よろしい。,答得好。
今、魔族領を支配しているのは\n「サキュバス」と呼ばれる魔物たちよ。\n彼女たちは男を快楽でたぶらかすのに長けているの。,現在支配魔族領地是一種被稱為\n「魅魔」的魔物群。\n她們擅長用快感欺騙男人。
当然、彼女たちが使うカードも\n男性を骨抜きにする、ふしだらなカードばかり。\nまだあなたには荷が重いから…。,因此，她們使用的卡片也是\n能夠魅惑男性的淫亂卡片。\n要對付這種魔物對你來還太吃力了…。
む…。納得いってなさそうな顔ね。,嗯？一臉沒辦法接受的樣子呢。
今、魔族領を支配しているのは「サキュバス」と呼ばれる魔物たちよ。\n彼女たちは男を快楽でたぶらかすのに長けているの。,現在支配魔族領地是一種被稱為\n「魅魔」的魔物群。\n她們擅長用快感欺騙男人。
当然、彼女たちが使うカードも\n男性を骨抜きにする、ふしだらなカードばかり。\n武闘派の訓練ばかりしてきたあなたに、そんな攻撃耐えられるかしら？,因此，她們使用的卡片也是\n能夠魅惑男性的淫亂卡片。\n只接受武術訓練的你能承受那種攻擊嗎？
男をたぶらかす……？,魅惑男人……？
ふふ。そっか、あなた童貞だものね。\nそういうこと全然知らないんだ。,嗯哼哼。也是呢，畢竟你還是童貞。\n所以完全不知道呢。
いいわ。教えてあげる。デッキを用意しなさい。\n今から実践で女モンスターと戦うってことがどういうことか、\n見せてあげるわ。,那麼我來實際示範一次吧。把牌組準備好。\n這次我要實際示範跟女性怪獸戰鬥的情形，\n看好了。
きゃあ！,呀啊！
あいたたた・・・。\nすごいわ。まさか負けるだなんて思わなかった。\nあなたには才能があるとは思ってたけど、想像以上ね。,好痛啊……。\n太厲害了。沒想到我會輸。\n你的才能超乎我的想像。
サキュバスが魔物として現れ始めたのが十数年前、\nその戦法を参考にしたカードマスターたちが、\n快楽攻撃を使い始めたのがここ数年のできごと。,魅魔以魔物的身分出現是數十年前的事情，\n參考她們的戰術的女性卡片玩家們\n也開始使用快感攻擊則是最近數年開始的事情。
それまで男性の方が強いマスターが多かったのに、\nこの戦術の変化で最近は男性マスターの勝率が大きく低下しているの。,在這之前男性玩家的強者較多，\n但因為這種戰術演變的關係最近男性玩家的勝率大幅下降。
ふつう、はじめてカードに快楽攻撃された男性プレイヤーは、\n頭とろとろになって足腰立たなくなっちゃうものなのよ？\nほんとたいしたものだわ。,一般來說第一次碰到性感攻擊的男性玩家\n都會腦袋無法思考爽到站不起來才對呢。\n你真的很厲害呢。
あなたなら最終的には魔族たちに打ち勝つこともできるかもしれない。\nとはいえ、急がば回れなのは本当よ。,或許你會成為打敗魔族的關鍵呢。\n但雖然是這麼說，你還是要記得欲速則不達這一句話。
下級サキュバスならまだしも中級以上のサキュバスともなれば、\n実力はわたし以上。\nわたしにギリギリ勝てる程度では、きっと厳しいと思うの。,如果對手是低階魅魔的話還好，但如果對手是中級以上的魅魔的話\n那實力已經在我之上。\n如果連我這種程度都很吃力的話，肯定對付不了的吧。
あうううっ・・・・。,啊嗚嗚嗚……。
くすくす❤みっともない姿ね。,嗯哼哼，真是丟人的樣子呢。
どう？カードの快楽攻撃が、どれほどのものか実感できたかしら。,如何？有實際體驗到卡片的快感攻擊了嗎？
って、あなたはカードの攻撃を受けるまえに、\nひとりでシコシコ始めちゃったからなにも分からないか。くすくす❤,啊，不過你在受到卡片的快感攻擊前\n就自己在那邊摸雞雞起來的關係應該還是不太懂吧。嗯哼哼。
女の子の色香に負けちゃうような実力じゃあ、\n魔族領に入ることは難しい……、,以你這種會敗給女孩子誘惑的實力，\n想要進入魔族領地應該很困難……，
これで分かったように、\n並大抵の実力じゃ、魔族領に入ることは難しいわ。,這麼一來就了解了吧，\n以一般程度的實力想要進入魔族領地很困難。
下級サキュバスならまだしも\n中級以上のサキュバスだとわたしよりも強いのよ。\nきっと童貞の男の子なんか瞬殺されちゃうでしょうね。,如果對手是低階魅魔的話還好，\n但如果對手是中級以上的魅魔的話那實力已經在我之上。\n如果是童貞男孩子的話肯定會被瞬殺吧。
だからこそ、地道に頑張っていきましょう。\n隣街には大きなカードマスターギルドがあって、たくさんの\nカードマスターがいる。きっとあなたにはいい刺激になるはずよ。,也因此，穩固實力基礎的努力特別重要。\n隔壁鎮上有卡片玩家公會，\n那裡有許多卡片玩家在。對你來說應該會是很好的刺激。
ギルドの方には手紙を書いておくわ。\n向こうについたらリーフという人に会いなさい。\n頼りになる人だから色々と面倒を見てくれるはずよ。,我幫你寫一封信給公會。\n到那邊後跟一名叫莉芙的人見面。\n她是很可靠的人應該會幫在各方面上協助你。
それじゃあ、これは支度金。,那麼這是旅費。
このお金を使って、カードパックを買うなり、装備を整えるといいわ。,用這個錢買卡包，好好整頓裝備吧。
ふふ。わたしの一番弟子として、頑張ってきなさいね。,嗯哼哼。以我的首席徒弟的身分好好努力吧。
今回はそっちが先攻ね。さあ、モンスターを出しなさい。,這次是你先攻。出招吧，讓我見識你的怪獸。
わたしのターン、ドロー！,我的回合，抽牌！
ふふ、いいカードを引いたわ,嗯哼哼，抽到好卡片了
{使用カード}を上級召喚！,上級召喚{使用カード}！
