default,
ゾンビガール,Zombie Girl
EU53_paizuriAnime,
ゾンビのモンスター娘。体はひんやりと冷たいが、胸やふとももは柔らかい。相手にゾンビウイルスを感染させるために口を使った誘惑をしてくるが、そうした本能とは別に、性的なことを通して「命」を強く感じられるため元々エッチなことが好き。,A zombie monster girl. Her skin is cold to the touch; yet her breasts and thighs are soft and squishy. She uses her mouth to spread the infection of her zombie virus. A lust for carnal desires that makes her feel alive. 
口についている赤いものは血ではなくザクロの果汁である。肉を生で食べるのは不衛生だと言ってネクロが赤い果物を代わりに与えたところ、本人は気に入ってよくザクロをかじっている。,An insatiable craving for human flesh; Necro displeased with her cravings gave her pomegranate instead; her reason being raw meat was unsanitary. The zombie girl took a liking to the red fruit and can be often seen eating them. In fact the red around her lips is not blood but actually pomegranate juice.
[1].このカードは「ゾンビ」状態を持ち。戦闘時に相手に「ゾンビ」状態を付与する。\n[2].このカードが墓地から特殊召喚されたとき発動する。フィールド上の「ゾンビ」状態のモンスターの数×100ポイント、自身の攻撃力をアップさせる。,[1]. This card has "Zombie". During combat; inflicts "Zombie" on foe. \n[2]. When this card is Special Summoned from the Graveyard; this card gains 100 ATK for each "Zombie" monster on the field.
[3].このカードが戦闘で「ゾンビ」状態の相手モンスターを破壊したとき発動する。破壊したモンスターのパラメーターを半分にして自分フィールド上に特殊召喚する。,[3]. When this card destroys an opponent's monster in the “Zombie” state during battle; Special Summon that monster to your field with half its original stats.
あなたの体、おいしそう・・・❤,Your body looks delicious...❤
かじっていい？\nかじっている間は、代わりに手コキしてあげるから・・・❤\nしこ、しこ・・・❤,May I taste you?❤ I’ll stroke your cock up and down like this...❤*Stroke*; *Stroke*...❤
あ、胸、見てる・・・❤\nけっこう大きいから、つい目で追っちゃうのかな・・・？\n男ってわかりやすい・・・❤,Oh~❤  So your focused on the swaying of my breasts...❤ Hoping my nipples will slip out from behind all this hair?❤ Men are so easy to understand...❤
ねえ、おっぱい好きなら、挟んで、気持ちよくしてあげるよ・・・❤\nでも射精したらその瞬間、あなたのお肉食べさせてね・・・。ふふふ❤,Hey do you like my tits? I can push them together around your cock...❤❤ If I satisfy your urges;  can I satisfy my appetite afterwards? Hmmm...❤
あは、舌が気になるの・・・？\nさっきから舌なめずりしてたから期待させちゃったのかな・・・❤,Aha; are you curious about my tongue?❤ Perhaps watching me lick my lips is making you think of certain things...❤
ほんとに食べたいのはあなたのお肉だけれど、\nいいよ。この口でフェラしてあげる❤\nお腹空いてるから、エナジーごちそうしてね・・・❤れろーっ❤,I really want to take a bite of you; but I'll just have to settle for your mana...❤ I am very hungry; so please treat me...❤ *Ahhhmmph~*❤
