default,
バスティスライム,Busty Slime Girl
EU7_paizuriAnime,
むちむちで張りのある体をした上級のスライム。胸で相手を虜にすることを得意とする。水質のきれいな湖に生息し、水辺に近づいてきた男性を人間に擬態して捕食する。,An advanced slime with a buxom and curvaceous body who is skilled at using her massive breasts to captivate men. She inhabits clean water lakes and often preys on men who approach the water's edge by mimicking the appearance of a human female.
あは、わたしのおっぱい、好きになっちゃった？,Aha! Have you taken an interest in my magnificent boobies?
さっきよりおっぱいに弱くなっているの丸わかり。\nもっと挟んで気持ちよくしてほしいんだよね❤,I can tell you're weaker for tits than before. You want to feel mine all over your dick; don't you?❤
いいよ❤気持ちいいパイズリ攻撃たっぷりしてあげる❤\nほら、腰をわたしの方に突き出して・・・❤,Ok then.❤ I'll give you a proper; mind-melting paizuri.❤ Hora. Just thrust your hips in my direction and...❤
おっぱいでむぎゅむぎゅしてあげるね・・・❤えい❤,I'll squish and smoosh you with my boobs okay...?❤ Eei!❤
んー？挟んだだけなのに、\nおちんちんがビクビクしちゃっている。\nもしかして、おっぱいのこと大好き？,Hmm...? I only pinched your dick a little between my boobs and it's twitching already. Do you perhaps; have a weakness for breasts?
おっぱいに弱いあなたなら、\nふふ、こんなふうにたぷんたぷんってされたら、\nすぐ負けちゃうんじゃない？,If titties make you weak; then... Ufufu; I bet if I wobble them around like this; then you'll end up losing right away; right?
あは❤気持ちよさそうな声❤\nそのまま頭の中からっぽにしてていいよ❤\nすぐ終わらせてあげる❤,Aha!❤ Judging by those moans you're feeling really good.❤ Let your mind go blank just like that.❤ I'll make sure it'll all be over soon~❤
ふふ、おっぱいに見とれちゃってるね❤\n戦うのはもうおしまいかな？,Fufu; I can see you've been staring motionlessly at my chest.❤ I guess this means you don't intend to fight anymore?
そのままじっとしてて・・・。そうすれば、\nほら、こんなご褒美あげちゃう・・・❤,Keep still a little longer... If you do... Hora; I'll have to reward you by doing this...❤
たぷんたぷんっておちんちん扱かれて、最高だよね❤\nいいんだよ。そのまま負けちゃっても。,Plap plap plap~ Having your dick stroked feels the best; doesn't it?❤ It's okay; no one will mind even if you lose.
エッチの経験が少ない男の子が、\nこんな気持ちいいパイズリされたら、勝てるわけないもん。\nほら、たくさん出して・・・❤えいえい❤,There's no way a boy with no sexual experience can win when their dick is feeling good between a pair of boobs like mine. Come on; let it all out...❤ Cum; cum!❤
男のマスターに従っていても、いいことなんて何もないと思うなー。それに比べてほら・・・。,I don't think anything good will come out of following your cardmaster's orders. On the other hand...
わたしたちに負けちゃえば、こんな風に気持ちいいパイズリ、してもらえるんだよ❤,If you lose to us; then you get a mind-melting paizuri like mine!❤
おっぱいが大好きなあなたが、死ぬほどしてほしかったパイズリ・・・。たくさんたくさんしてもらえるの❤,Tit lovers like yourself would die for a paizuri like this... And now I'm going to give you exactly what you want.❤
おちんちんが気持ちよくて、もう最高に幸せで・・・❤どっちの方がいいか、考えなくてもわかるよね？うふふ❤,When your penis is trapped in the ultimate feeling of happiness...❤ You don't even have to think about what you'd rather have; right? Ufufu.❤
上級モンスターのパイズリだよ❤\nあなたなんてすぐイかせちゃうんだから❤,This is the Paizuri of an advanced class monster!❤ So of course; someone weak like you will end up cumming right away.❤
ほらぁ、むぎゅっておちんちん挟み込んで、\nずりずり、ぐちゅぐちゅ❤\n死んじゃうぐらい気持ちいいでしょ？,Horaa; I’ll squeeze your dick between my boobs and... *Slide* *squish*...❤ It feels so so good you can feel your conciousness slipping away; right?❤
くすくす❤すごーく顔が蕩けちゃってる❤\nおっぱい大好きなんだ❤,Kuhuhu~❤ You have a really silly expression right now.❤ You must really like boobs.❤
おっぱいが好きなあなたなら、\nこんな大きいおっぱいでいじめてもらえて、うれしいよねー❤\nお口からよだれがでちゃってアヘアへ状態❤,A big boobie lover like yourself must be overjoyed to have their dick teased by boobs as large as mine; huh?❤ Your're already moaning and even drooling a little.❤
ぷるんぷるんのスライムおっぱいで、もっとズリズリして\n骨抜きにしてあげる❤\nほらほらほら・・・❤,I'll rub you even more between my bouncy slime boobies and make you fall deeper under my spell.❤ Hora hora hora...❤
ほら、とびっきりのおっぱいで挟んで昇天させてあげる❤,Hora; I'll wrap my superior boobs around your dick and send you to heaven.❤
わたしのスライムおっぱい、\n張りがあるのにしっとりやわらかで、\nとっても気持ちいいんだよ❤えい❤,My slime boobies are firm; yet soft to the touch; so they feel really good.❤ Eei!❤
どうかな？こんなふうにたぷんたぷんってされるの、\nすごく気持ちいいでしょ？,What do you think? When I bounce my boobs up and down on your shaft like this; it feels amazing; doesn't it?❤
あは❤隠したって無駄。\n気持ちよさそうな声、漏れちゃってるもん。\nそのまま頭の中からっぽにしてていいよ❤すぐ終わらせるから❤,Aha!❤ There's no point in hiding it. I can already tell by the sounds of your moans. Just relax and let your mind go blank.❤ It'll all be over soon.❤
うふふ❤抵抗しちゃダメだよ。\nわたしたちにおとなしく食べられちゃおうね。,Ufufu.❤ Don't bother resisting. Just be a good boy and let me taste you; OK?
言うこと聞いてくれたら、\nほら、こんなご褒美あげちゃう・・・❤,Do as I say; and I'll give you a reward- Hora...❤
たぷんたぷんっておちんちん扱かれて、最高だよね❤\nこんなに気持ちいいんだもん。\nそのまま負けちゃっても仕方ないよ。,Having my ample; bouncy boobs stroking up and down your dick feels amazing; doesn't it?❤ There's no helping it when they feel this good. Just submit and give in to the pleasure.
エッチの経験が少ないあなたが負けても、誰も責めない。\nだから、ね❤\nパイズリされて谷間に中出ししちゃお❤えいえい❤,No one would blame someone as inexperienced as you for giving in. Just go ahead and shoot your stuff into my boobs as I coax it all out.❤ Eei; eei!❤
男のマスターに従っていても、\nいいことなんて何もないと思うなー。\nそれに比べてほら・・・。,I don't think anything good will come out of following your cardmaster's orders. On the other hand...
わたしたちに負けちゃえば、\nこんな風に気持ちいいパイズリ、\nしてもらえるんだよ❤,If you lose to us; then you get a mind-melting paizuri like this!❤
おちんちんが気持ちよくて、もう最高に幸せで・・・❤\nどっちの方がいいか、考えなくてもわかるよね？うふふ❤,You'll end up being stuck in a state of permanent happiness when I make your dick feel good...❤ It's obvious which outcome is better for you; right? Ufufu.❤
ほらぁ、むぎゅっておちんちん挟み込んで、\nずりずり、ぐちゅぐちゅ❤\nぷるんぷるんのおっぱいで死ぬほど気持ちよくされちゃう❤,Hora~ I’ll squeeze your dick between my boobs and... *Slide* *squish*...❤ It feels so so good you can feel your consciousness slipping away; right?❤
頭の中とろとろにされて、戦えなくされちゃうね❤\nおっぱいに負けてエナジーわたしにちょうだぁい❤\nほらほらほら・・・❤,There's no fighting back anymore with such an empty mind.❤ Just give into my boobs and give me your energy.❤ Hora hora hora...❤
ううっ、おっぱいで気持ちよくして…❤\nおねがいします・・・❤,Ooogh... Make me feel good with your boobs...❤ Please...❤
