default,
光の先導者,Radiant Vanguard
EU67_footJobAnime,
　魔力の込められた旗を振り、味方全体に守りの力を与える能力を持つ。戦局を一変させるほどの力はないが、頑強な戦士に守りの力を合わせることで、容易には突破できない布陣をしっかりと支えている。 　エッチなことは別段得意ではないが、男の子をいじめるのは結構好きで、足でぐりぐりと刺激したり耳に息を吹きかけてこちらをからかってくる。胸も意外と大きく、ぎりぎり胸で挟めるぐらいのサイズがあるためパイズリにも注意が必要である。,She wields a flag imbued with magic power; giving her the ability to protect all her allies. Though she lacks the power to turn the tide of the battle by herself; by simply combining her defensive strength with tenacious warriors; she supports impenetrable formations. She is not particularly proficient in lewd things; but she likes teasing boys quite a bit: by stimulating them with the rubbing of her legs; or by teasingly blowing her breath in their ears. Her chest is also surprisingly big; almost enough to be completely squeezed in it; it is advised to be cautious about her paizuri as well.
[1].このカードが召喚に成功したとき手札を１枚捨てて発動できる。デッキから光属性レベル4以下のモンスター１体をランダムに特殊召喚する。,When this card is successfully summoned; you can discard one card from your hand and special summon a Light attribute monster of level 4 or lower from your deck.
[2].このカードが自分フィールド上に存在する限り、自分の光属性モンスターが受ける戦闘ダメージは常に200ポイントダウンする。,While this card is on your field; your Light attribute monsters receive 200 less damage when engaged in battle. 
[3].１ターンに１度、発動できる。自分フィールド上のすべての光属性モンスターの攻撃力を200ポイントアップする。,Once per turn; increase the attack power of all the Light attribute monsters on your field by 200.
あたしは味方を応援するのが得意なの。\n当然、敵のあなたは応援してあげないわ。\nでもね、代わりに、ここを握って応援してあげる❤,I'm very good at encouraging my allies. Obviously; you are my enemy so I can't cheer you on. However; I can instead encourage you by grabbing you down there~❤
だっておちんちんって、わたしたちの味方みたいなものでしょ？\n強い男の人をしばりつけて、女の子に勝てなくしちゃう、\nたのもしい味方❤,After all; your penis is essentially on my side right? A very dependable ally that restrains strong men; rendering them unable to win against girls!❤
ほらぁ、おちんちんさん頑張れ～、しこしこ～❤\nあなたのご主人様をもっともっと弱くしてぇ、\nどぴゅーってエナジー出しちゃおうねー❤,Theeere; do your best Mister Penis~; stroke; stroke~❤ Make your master weaker and weaker; and pour out your energy for us ok?❤
この旗ねー、折りたたんでいつも持っているから、\nわたしのおっぱいの匂いがついているんだよ。\nとってもあまぁい、女の子の匂いだよ❤嗅いでみたいでしょ？,See this flag? I keep it folded up and close to my chest; which means it has a similar smell to my breasts. A very sweeeet girly scent.❤ You want to sniff it; right?
ならほら、旗であなたのこと包んじゃう❤\nこうすれば動けないしー、一方的に攻め放題♪\nわたしって頭いいー♪,Here; I'll wrap you up in it~❤ If I do this; you won't be able to move or fight back at all~♪ I'm so smart~♪
ふぐ、はうぅう・・・❤,Aammmh; haauu...❤
くすくす❤おっきくなったおちんちんが旗を押し上げてる❤\nいい匂いで興奮しちゃったんだー❤ほら、旗ごしに\nシコシコ❤シコシコ❤たくさん触って気持ちよくしたげるねー❤,Eh eh; your penis that got bigger is pushing the flag up.❤ So; you got aroused by my scent~❤ Here; I'll stroke you through the flag; stroke; stroke~❤ stroke; stroke~❤ I'll stroke you plenty and make you feel good~❤
えい、踏みつけ攻撃～❤\n上からぐりぐり～ってされて気持ちよくなっちゃえ❤,Ha! Stomping attack~❤ I'll keep pressing on you from above; feel good from that~❤
地面にあるゴミをすりつぶすみたいに、\nぐりぐり♪ぐりぐり♪\nこんなに乱暴にされて感じちゃうんだ❤お兄さん、マゾなんだね～❤,Just like pulverizing trash on the floor; I'll grind; grind!♪ Stomp; stomp!♪ Feeling good from such a violent assault.❤ Big brother; you are such a masochist~❤
靴を脱いで、靴下で踏んであげる。\n靴下のさわりごこち、おちんちんで感じると、\nきもちいいんだよー❤,I'll remove my boots and step on you with my socks. The comforting feeling of my socks on your penis feels good right~❤
寝転んだお兄さんの股に足を当ててー、\nたまたまから先っぽまで、足でごしごし♪ごしごし❤\n精液さんでてこーい❤って、こすってあげるの❤,For my big brother that's laying on the floor; I'll touch your crotch with my foot and... from your balls to the tip of your penis; I'll grind; grind~♪ stroke; stroke~♪ with my legs~❤ I'll stroke you in a way that says "Mister semen; please come~❤ out~❤"
何回こすったところでおもらししちゃうかなー❤\n数えててあげるね。ほら、\nいーち♪、にー♪くすくす❤,How many times will it take for you to cum I wonder~❤ Let's see. Here; oooooooone~♪ twooooooo~♪ *Giggle*
まわりがみんな爆乳だから、かすんじゃうけど、\nわたしだって意外とおっぱいあるんだよ？\nがんばれば、おちんちんだって挟めるんだから、えいっ❤むにむに～❤,Everyone around here have enormous breasts; so I get a bit overshadowed; but... See; I'm surprisingly big myself; right? If I try; I can sandwich your penis; here I come; hey!❤
すべすべおっぱい、気持ちいいでしょ❤\nいっぱいズリズリしてあげるから、逃げちゃダメだよー❤\nよいしょっ、よいしょっ、ずりずり❤ずりずり❤,My smooth breasts feel good right.❤ I'll rub you plenty; so don't go away~❤ I'll take one breast; and the other; and... rub; rub!❤ again and again!❤
あはは❤わたしに「気持ちよくしてー」っておねがいしちゃうんだ❤\nお兄さん、かわいいところあるんだね。\n素直になれてえらいよー？,Ahaha~❤ Asking me to make you feel good...❤ Big brother; you have quite a cute side; good job for becoming honest with yourself~
ほら、なにしてほしいのかなー。\nちゃんと大きな声で言ってみてよ。ほらほら♪,Hey; what do you want me to do? Say it with a loud voice; come on; come on!♪
導きの踏みつけ,Vanguard's stomping
導きの手コキ,Vanguard's handjob
導きのパイズリ,Vanguard's paizuri
なんでも,You decide
ふーん、足で踏んでほしいんだー。\nお兄さん、へんたいなんだねー❤,Eeeeh; so you want me to step on you. Big brother is a pervert~❤
しょうがないからやってあげる❤\nぐりぐり、ごしごしって激しくしちゃうから、\n途中で音をあげないでね♪,Well; if that's what you want; I'll give it to you.❤ I'll roughly grind and stroke you plenty; so don't suddenly start making loud noises ok?
わたしの手でシコシコしてほしいの？\nふふ、いいわよ。わたしの小っちゃい手で\nお兄さんの大きくなったおちんちん、気持ちよくしたげる♪,You want me to stroke you with my hand? *Giggle*; that's fine with me. I'll make my big brother's growing penis feel good with my tiny little hands~♪
わたしのおっぱいで挟んでほしいの？\nふふ、もっとおっぱい大きい子もいるのに、\nわざわざ、わたしに頼むなんて、お兄さん変わってるね❤,You want me to squeeze you with my breasts? *Giggle*; even though there are girls with bigger breasts than mine; you are deliberately going out of your way to beg me. You have unusual tastes big brother~❤
