default,
道化師,Jester
EU57_paizuriAnime,
EU57_bustShakeAnime,
EU57_footShakeAnime,
　道化の姿をしたモンスター。つかみどころのない態度であちこち動き回り、気が付けばこちらのそばにいてふところに潜り込んでいる。,A monster who has taken the form of a court jester.  Her elusive demeanor and unpredictable movements make her a hard target to keep track of; making it easy for her to infiltrate the opponent's side of the field; taking her place right beside them before they can realize what has happened.
\nどこか憎めない愛嬌のある様子に油断すれば、その時点で彼女の手の平の上であり、主人であるはずのものがかえって召使いに操られ、いつの間にか言われるがまま精も何もかも彼女に搾り取られてしまっているだろう。,Should someone let their guard down around her seemingly lovable and charming demeanor; they'll quickly find themselves in the palm of her hand. Her role as servant will quickly turn into mistress; and she'll have milked them of everything they have all as you obey her every word.
\n　道化として数々の「芸」を身に着けている彼女は、手コキも足コキもパイズリも得意である。ご主人の好みに合わせて、胸での奉仕を望まれれば弾力たっぷりの胸で愛撫し、足での奉仕を望まれれば絶妙な力加減でぐりぐりと踏みしごいてくれる。のちのことを考えないのであれば、頭を空っぽにし彼女に楽しませてもらうことはとても幸福なことかもしれない。,As an entertainer; she has mastered numerous different 'performances'. She excels at handjobs; footjobs; and paizuri; and will cater her talents to best suit her master's preferences. If he desires service from her breasts; she'll caress him with her large; bouncy chest. Should he prefer service from her feet; she'll stroke and squeeze his cock between her arches with exquisite pressure control. If a man allows these 'performances' to make him forget about the situation at hand; he will no doubt find himsself trapped in pure bliss; head empty of all thoughts.
[1].このカードは「隠密」「弱点付与」を持つ。,[1]. This card has [Stealth] and [Weakness Assignment].
[2].このカードが通常召喚に成功したとき、LPを800払xcv って発動する。相手フィールド上の最もレベルが低いモンスター（このカードと同名のカードは除く）とこのカードのコントロールを入れ替える。その後、そのモンスターに「攻撃不能（1ターン）」を付与する。,[2]. When this card is successfully Normal Summoned; pay 800 LP to switch control of this it with the lowest level monster on your opponent's field (excluding cards with the same name as this card). Then; inflict [Cannot Attack (1 Turn)] on that monster.
[3].このカードのコントローラーが元々の持ち主と違う場合、このカードは相手キャラクターに攻撃できず、自分キャラクターに対してのみ攻撃できる。このときこのカードは反撃されない。,[3].If you are not the owner of this card; you cannot use it to declare an attack on any foe. If this card is used to attack cards on your field; it does not receive counterattacks.
[4].このカードのコントローラーが元々の持ち主と違う場合、自分ターン終了時に発動する。相手はカードを１枚ドローする。,[4].If you are not the owner of this card; your opponent draws 1 card at the end of your turn. 
(戦闘時に弱点を付与する。),(Inflicts a fetish status during battle)
じゃじゃーん、道化めの登場です～❤\nではでは、いきますよ～、いち、にの、さーん❤,Ta-da! Your jester has arrived~❤ Let the show begin. One; two; three!❤
どうもどうも～。はじめまして主様ぁ❤\nわたくしは、これから主様にお仕えいたしますゆえー、\nよろしくお願いいたします～❤,Hey there. Nice to meet you; Master.❤ I'll be serving you from now on; so please take good care of me~❤
向こうに行ったお仲間さまは、\nわたくしがちょっと、ごにょごにょいたしましたので、\nすっかり敵のマスターにメロメロですよぉ。こちらには戻りません❤,See your companion over there? I did a little something to them; and now they're all lovey dovey for the cardmaster you're fighting! I'm afraid they won't be coming back~❤
その分、わたくしが主様にたくさんご奉仕いたしますので～❤\nなーんでもご申しつけくださいね～、主様ぁ❤,But don't worry; I'll serve you plenty to make up for it!❤ Feel free to give me any order you desire; Master~❤
観客さまにはわたしの演技を披露させていただきます❤\nわたくし道化師でございますから、\n観客さまを楽しませるのがお仕事なのです❤,Ladies and gentlemen; let's get on with the show!❤ I'm a jester after all; so entertaining the crowd is what I do best. But I'll need a volunteer~❤
まずはわたしの手で、あなたの玉を触らせていただいて、\nほら、たぷたぷ❤むにむに❤\nいかかですか～、観客さまぁ❤,How about you; sir? First; I'll give your balls a little fondle with my hands... Look; I can manipulate them with such ease.❤ Just massaging them nicely between my fingers~❤ How does it feel; my lucky volunteer?❤
玉遊びならお手の物。何回でもジャグリングして、\n自由自在に操ってみせますよぉ❤\nほらほらぁ、手の平でやさしく持ち上げ揉みこんでさしあげますぅ❤,Juggling balls is my specialty. I can toss them around as many times as you want; handling them however I please~❤ See? I'll craddle them in my palm and knead them so tenderly~❤
主様はわたくしのご奉仕をご所望ですか❤\nはい、わたくし道化師、せいいっぱい、\n主様を気持ちよくさせていただきます❤,Does Master desire my service?❤ Right away! Just let your jester do everything in her power to make Master feel amazing~❤
わたしの手で、主様のおチンポを触らせていただいて、\nほら、しこしこ❤しこしこ❤\nいかかですか～、主様ぁ❤,I'll tease Master's cock with my hands. Watch. I'll stroke it~❤ And pump it~❤ How does it feel; Master?❤
道化は主様の敵ではございません。\nだから、たっぷり気持ちよくなっていいんですよ～❤\n主様がご満足されるまで❤しこ、しこ❤しこ、しこ❤しこ、しこ～❤,Jester isn't your enemy; Master; so it's okay to enjoy yourself as much as you want until you're completely satisfied~❤ Stroke; stroke~❤ Stroke; stroke~❤ Stroke; stroke~❤
主様のご命令とあらば、\nお仲間さまを楽しませることも道化の務めです❤\nさあ、共に戦う仲間として、おててで楽しませてあげますね❤,If Master commands it; then I must obey. What kind of jester would I be if I didn't entertain your allies?❤ Come here; comrades. Let me pleasure your cocks with my hands; okay?❤
わたしの手で、チンポをぎゅっと触らせていただいて、\nほら、しこしこ❤しこしこ❤玉も触って、さわさわさわ～❤\n道化めの手さばきは気持ちいいですかぁ❤,I'll me grip your cock tightly with my hands. Look; I'll stroke it~❤ And pump it~❤ And I'll fondle your balls while I'm at it; massaging them so gently~❤ Does this jester's handiwork feel good?❤
これは主様のご命令でございます。\nだから、お仲間さまもたっぷり気持ちよくなっていいんですよ～❤\nしこ、しこ❤しこ、しこ❤ふふ、うっとりされてますね～❤,This is what Master has ordered us to do; so please; feel free to enjoy yourself completely.❤ Stroke; stroke~❤ Stroke; stroke~❤ Fufu; it looks like you're already lost in the pleasure; aren't you?❤
観客さまには、おっぱいでのパフォーマンスを楽しんでいたきます❤\n玉投げに玉乗り、丸いものの扱いはお手の物なのです。当然、道化めの\n胸についたこの丸ーい二つの玉も、巧みに扱ってみせますよ～❤,Dear audience member; allow me to put on a lovely performance with my bresats; just for you~❤ Ball juggling; ball riding—I'm an expert at handling all kinds of round things. Naturally; that also includes my two lovey; bouncy tits~❤
むにゅっと棒を挟ませていただきまして～❤\n両手で交互にたぱん、たぱんっと持ち上げるのです❤\nあは、おチンポおっぱいの間で翻弄されてぇ、気持ちよさそうですね～❤,Let me wrap them around your shaft~❤ I'll lift them with both hands; bouncing them one at a time; up and down.❤ Aha; your cock is being toyed with between my breasts! It feels so good; doesn't it?❤
ずりずり、むにむにゅ❤あん、おチンポが震えてますぅ❤\nこんなに感動していただいて、道化めはとっても嬉しいですぅ❤\nわたくしとの玉遊びで、もっともっと元気になってくださぁい❤,My lovely titties are sliding so effortlessly up and down the length of your cock~❤ Ahn; I can feel it trembling!❤ I'm so happy you're enjoying it so much~❤ Go ahead; just have fun and buck your hips into my funbags~❤
ご命令くださりありがとうございます❤主様ぁ❤\n道化めがこのおっぱいでたくさん気持ちよくしちゃいますね❤\n玉投げに玉乗り、道化は丸いものの扱いはお手の物なのです❤,Thanks for the orders; Master!❤ Your jester will happily use her breasts to make you feel incredible~❤ Ball juggling; ball riding—jesters like me are experts at handling all kinds of round things!❤
むにゅっと棒を挟ませていただきまして～❤\n両手で交互にたぱん、たぱんっと持ち上げるのです❤主様のおチンポ、\nおっぱいの間で翻弄されてぇ、気持ちよさそうですね～❤,Let me wrap them around your shaft~❤ I'll lift them with both hands; bouncing them one at a time; up and down.❤ Master's cock is being toyed with between my breasts! It feels so good; doesn't it?❤
ずりずり、むにむにゅ❤あん、おチンポが震えてますぅ❤\nこんなに武者震いされて、主様ぁ❤戦いのやる気はばっちりですねぇ❤\nわたくしとの玉遊びで、もっともっと元気になってくださぁい❤,Sliding; squishing~❤ Ahn; your cock's trembling!❤ Master; you're shaking so much~❤ You must be so full of fighting spirit!❤ Go ahead and get even more pumped up from playing with my round; bouncy tits~❤
主様のご命令ですので、お仲間さまにおっぱいでのご奉仕です～❤\n玉投げに玉乗り、丸いものの扱いはお手の物なのです。当然、道化めの\n胸についたこの丸ーい二つの玉も、巧みに扱ってみせますよ～❤,Since our master has given the order; I'll happily pleasure you with my breasts~❤ Ball juggling; ball riding—I'm an expert at handling all things round and smooth. Naturally; that also includes these two round; bouncy tits of mine~❤
むにゅっと棒を挟ませていただきまして～❤\n両手で交互にたぱん、たぱんっと持ち上げるのです❤お仲間さまのお顔\nあっという間に気持ちよさそうに蕩けてますね～❤,I'll just go ahead and wrap them around your shaft~❤ I'll lift them with both hands; bouncing them one at a time; up and down.❤ Your little friend's expression is already melting with pleasure~❤
ずりずり、むにむにゅ❤むにゅんむにゅん❤\nあん、おチンポが震えてますぅ❤イきそうなんですかぁ❤わたくしとの\n玉遊びで、どぴゅって出しちゃってもいいですよ❤お仲間さまぁ❤,Sliding; squishing~❤ Bouncing; jiggling~❤ Ah; your cock is trembling!❤ Are you about to cum?❤ Feel free to let it all out between my bouncy tits~❤ Dear friend~❤
道化めのブーツは、意外とやわらかくできてましてぇ、\n踏んでも痛くないのです❤\nだから、ご所望とあれば、足コキだってしてさしあげますよぉ❤,This jester's boots are surprisingly soft; so it won't hurt even when I step on you.❤ So if you want; I could even give you a footjob~❤
玉乗りのときみたいに、足をすばやく動かしましてぇ❤\nほら、すりすりすり～❤\n道化めの足さばきもなかなかのものでしょう？,I'll move my feet really fast; just like when I'm riding a ball~❤ Look; rub rub rub~❤ My footwork is impressive; huh?❤
パフォーマンスのフィナーレは、\nどぴゅっと飛び出るお漏らしでしょうか❤\nささ、ご遠慮なさらず、道化めの足にたくさんかけてくださぁい❤,Will the finale of this performance be you shooting your load all over the place?❤ Come on; don't hold back; spray it all over my feet~❤
