default,
下級堕天使,Lesser Fallen Angel
EU54_footJobAnime,
もともと天上にいたが女神の機嫌をそこね冥界に堕とされた堕天使の少女。天界にいたときはいまよりもはるかに強力だったが、追放のさいに力を封印され、いまでは下級モンスター相当の能力しかない。\n\n　魔力は大幅に落ちてしまったものの依然としてその体は天使の体であり、触れたものを恍惚とさせ忘我の境地に至らせることができる。足で踏んで多くの人間を虫けらのように屈服させ、彼女を信仰させたりその力を吸い取ることで、少しづつ力を取り戻そうとしている。,A fallen angel banished cast out from heaven to the underworld after failing to please the goddess. She used to be quite powerful during her time in heaven; but her powers were sealed when she was banished; and is now only as strong as a low-level monster.
\n\nAlthough she has lost much of her magical power; she still has the body of an angel and can make those she touches fall into a state of ecstasy and oblivion. By taking control over many humans by stepping on them like insects; she slowly attempts to gain power little by little by draining their energy and making them believe in her.
[1].お互いのフィールド上にモンスターが存在する場合、１ターンに１度発動できる。自分フィールド上のすべてのモンスターの攻撃力を200ポイントアップし、相手フィールド上のすべてのモンスターのHPを500ポイント回復する。\n[2].このカードが召喚に成功したとき発動する。デッキから闇属性の魔法カードをランダムに１枚手札に加える。,[1]. If there is a monster on both sides of the field; you may increase the attack power of all monsters on your field by 200 points and heal the HP of all monsters on your opponent's field by 500 points. (once per turn)\n[2]. When this card is successfully summoned. Add a random Dark Magic card from your Deck to your hand.
息で攻撃時に魅了を付与する。,Her breath charms her foes when attacking.
わたしの足コキってね、気持ちよすぎて、\nみんな中毒になっちゃうんだ❤,My footjobs feel heavenly; so everyone quickly becomes addicted to them.
でも、いくつかの国で人間を搾り殺してたら、\n女神さまに力を封印されて天界から追放されちゃったの。\nいまでも足コキは上手いけど、昔と比べたらだいぶ控えめ・・・。,Before my banishment from heaven my foot-job could make a man buckle from the slightest touch...❤
そうだ。あなたが心のバリアさえ解いてくれれば、\n昔みたいに触れただけで腰が抜けちゃうぐらいの快感を、\nおちんちんに与えることができるかも・・・❤,But alas my powers were sealed along with my banishment. If only you could break the seal; I could give you a taste of paradise...❤ Just like in the old days...❤
ねえ、おねがい❤力を抜いて、わたしの足コキを受け入れて❤\n小さい子の器用な足裏に、思うがままに弄ばれちゃお？くすくす❤,Hey Mister; Don't fight back please~❤ Are you crumbling beneath the dexterous soles of a little girl? *Giggle*
わたしは堕天をした身…。\n女神さまから見放されて、闇の世界に追放されたの。,I am the fallen one... I was abandoned by the goddess and banished to the world of darkness.
ただ、人間に快楽を与えて搾り殺しただけなのに…。\n女神さまってひどいよね？, I was only pleasuring humans and squeezing them until they died... The goddess is so mean; isn't she?❤
お兄さんもわたしみたいな女の子に、\nおちんちん触られるの好きでしょ？\n手じゃなくてわたし足が一番器用だから・・・。,Do you like it when I rub your cock with my angelic hands? My feet will feel even better...❤
お兄さんのこと虫けらみたいに見下ろしながら、\nいっぱい踏んであげるね❤\n天使の素足の気持ちよさ、たっぷり堪能していいよ❤,I'm going to step on your cock now; from this angle you look like nothing more than an insect to be stomped out...❤ Do you like the feeling of an angels barefeet?❤.
天使の肌ってね、特別だから、\nどれだけ地面の上を歩いても、汚れることはないし、\nけがをすることもないんだよ。,An Angel's skin is special you know; No matter how far we travel or how often we fight; our skin remains flawless.
逆にそこに血みたいな不浄なものあれば、全部浄化しちゃうの。\nほら、お兄さんのおちんちんにもぎゅって押し付けてあげる。\nお兄さんの不浄な部分が浄化されちゃうね❤,On the other hand; if we spill something impure like blood from our angelic bodies; it will purify everything it touches. I'm going to press it against your member. It will purify your most impure parts.❤
じわーって光に包まれるみたいになって、\n気持ちいいでしょ？くすくす❤\n汚い欲望ごと全部抜き取ってあげる❤,It's like being enveloped in a soft light; doesn't it feel good? I'll stomp out all your dirty desires.
わたしの羽で乳首を触ってあげる。\nもとは真っ白だったのに、今はこんな色になっちゃった。\nでも触り心地はまだまだ全然気持ちいいんだよ❤,I'll touch your nipples with my feathers. They used to be pure white; but they have darkened since my banishing. They will feel good to the touch.
ほら、さわさわさわって乳首の周りを撫でてあげれば・・・❤\nくすくす❤うっとりしちゃうでしょ？\n天使の羽でからかってもらえるなんて、幸せな乳首だね❤,Come on Mister; just let me brush them around your nipples...❤ *Giggle*❤ Are you enchanted? You are such a lucky boy to be teased by an angel's feather.❤
あへぇってなって無防備になったおちんちんにも、\nえい♪膝を押し当ててぶるぶる振動させてあげるね❤\n乳首をいじめながらの膝コキ❤逝くまで楽しんで？,I'll press my knees against your unprotected cock and vibrate like this~❤ Are you going to enjoy it until you die?
ふふ、下等生物くんには天使の息をプレゼント❤\n天使の息には恍惚を与える効果があるの❤\nほら、ふぅー・・・❤,Breath deeply Mister; Angel breathe contains an aphrodisiac to make you feel really good.❤
ね？堕天して力は封印されたけど、それでもうっとりしちゃうでしょ？\nふふ、腰をくねくねとさせて悶えてる❤\nこのまま触れられもせずに射精しちゃう？ふぅー・・・❤,Have I already won? Just the sight of a fallen angel and you're completely enraptured; aren't you? You're wriggling your hips and writhing in agony...❤  If this keeps up; could you end up ejaculating without even being touched? Fufu...❤
くすくす❤ほんとうに力を抜いちゃうんだ❤\nわたしみたいな小さな体の子に興奮するなんて、罪深いね…❤,You should calm down Mister; have a little shame...❤ It's sinful to get excited over a little girl like me...❤
悪い人間は地面を這いつくばらせて懺悔させてあげる。\n抜け出せるなら抜け出してみて。ほら・・・❤,I make bad people crawl on the ground and repent. Try to get out of it if you can...❤
ねえ❤どうしてお兄さんはそんなにここを大きくしているの？\nわたしみたいな小さな体の子に興奮するなんて、罪深いね…❤,Hey!❤ Why has Mister gotten so big down there? It's sinful to get excited by a little girl like me...❤
くすくす❤我慢できずに射精しちゃうんだ❤\n最後に思いっきり踏んであげる❤ぎゅぅーー❤,*Giggle*❤ Are you going to spill Mister?❤ I'm going to step on you one last time with all my might~❤ *Giggle*❤
きゃ！\nへぇー。わたしの足に踏まれてちゃんと逃げ出せるんだ。\n足フェチのマゾなのにすごいね。,Kya! What strength; I can't believe you escaped! How impressive for a hopeless masochist with a foot fetish.
おちんちん気持ちよくてたまらなかったでしょ？\nそれなのに理性を振り絞ってわたしをふり払って、\nくすくす❤余計にあなたのこと堕としたくなっちゃった❤,Your cock felt so good; didn't it Mister? You had to muster up the last bit of your strength just to survive a little longer. *giggle*❤ It's so cute; makes we want to play with you even more.❤
足の裏ですりすりすり♪足フェチくんには効果ばつぐん❤,Rubbing your penis with the soles of my feet...❤ The one thing all foot guys can't resist~❤
踏まれてどんどん気持ちよくなっちゃうねー。くすくす❤,Being stepped on just keeps feeling better and better; doesn't it? *Giggle*❤
わたしの体重なんてたかが知れてるよ。ほらほらー、振り払わないの？,I am as light as my feathers. Come on; come on; can't you shake me off? Do you want to?
くすくす❤足なんかでそんな蕩けた顔をしちゃうんだ❤,*Giggle*... My feet make you so weak...❤
天使の足コキ気持ちいい？肌がすべすべで腰が抜けそうだよねー❤,How good does it feel to get a footjob from an angel? My skin is so smooth your hips have become completely entranced haven't they?❤
ふみふみふみ♪何回踏んづけたら出しちゃうかな？,Fufu; the arc of my foot is perfectly sliding across the underside of your dick. How many times do I have to step on you before you cum?❤
あは、ビクンビクンって腰が跳ねてる❤足裏気持ちいいんだね❤,Haha; your hips are bucking~❤  Do my feet feel that good?❤
小さな女の子の足に堕とされちゃうね❤あんあん喘いでカッコ悪い❤,That's very indecent Mister...❤
あへあへ喘いじゃって、うるさいぐらいだね❤\nふふふ、みんなに見られちゃうよ❤,You're moaning so loudly Mister; Aren't you embarrassed?
天使の肌ってすべすべで気持ちいいでしょ？そのまま昇天しちゃっていいよ❤,Angel skin feels so smooth and nice; doesn't it? You can just let go and give in...❤
ふふ、わたしに快楽をお願いするの？\n人間の男のお願いなんて聞いてあげなくてもいいんだけど・・・。,Fufu; Are you begging me for pleasure? I don't have to do anything that a human would ask of me....
そんな必死にお願いされたら、\n天使としては恵みのひとつも与えないとね❤\n快楽の対価に少し力をもらっちゃうけど、別にいいでしょ？ふふふ❤,But; you are pleading so desperately; as an angel the least I could do is give you a blessings...❤ I'll get a little power in return; but you want this; right Mister? Fufu...
あは、踏みつけられてどぴゅ、どぴゅ、どぴゅ❤\n濃くてどろどろのをこんなに出しちゃったね。\nわたしの足コキ、すごく気持ちよかったでしょ❤,Haha; I stomped on you and made you pop; pop; pop!❤ You let out so much.❤ Was my footjob heavenly?
くすくす❤乳首を羽でさわさわされるの、そんなによかった？\n膝がどろどろ❤,*Giggle*❤ Was it that good feeling my feathers brush against your nipples? My knees are coated in your seed.❤
くすくす❤\n指一本触れないで、息だけでイかせちゃった❤\n下等生物のおちんちん、とっても弱いねー❤,I made you come with my breath alone; I didn't even have to use my body.
それじゃ、対価をもらうね。\n契約に基づきお兄さんの力を吸収っと・・・,Well; now; It is time to pay the price Mister. I will drain the power directly from your source...
ううっ・・・❤だめなのに、止まらない・・・❤,Ugh...❤ No; but I can't stop...❤
ふふ、自分から身を天使にささげるなんて、敬虔な人間だね❤,Fufu; you are a pious human being to offer yourself to an angel.❤
わたしのあふれ出る威光にメロメロになっちゃった？\nそれともすべすべの天使の肌に、ムラムラが抑えられなかったのかな❤,Did you fall in love with my overflowing majesty? Or maybe it was just my smooth angel skin making you incredibly horny...❤
あなたがシコシコしてるのを、にやにやしながら眺めていてもいいんだけど、\n少しお手伝いしてあげる❤,I don't mind watching you writhe in agony; but I'll help you out; just a little...❤
ほら、敬虔なあなたに、天使の祝福をあげるね❤ふぅー・・・❤,Here Mister; I'll give you my angelic blessing for being so devout...❤ pshew~❤
はぅううっ・・・❤,Hahhhh...❤
くすくす❤恍惚としちゃってる❤\n天使の息ってとっても気持ちいいよね❤\nこの息には人を陶酔させて、何も考えられなくする働きがあるの。,*Giggle*❤ You are absolutley beaming Mister.❤ Let me make it even better;❤ pshew~❤ This breath will have you drowning in ecstasy; you will soon forget everything else.
信仰ってそういうものでしょう？忘我の境地っていうのかな。\n自分のことを忘れて信仰相手のことだけ考える。\nそうすると、幸せになれるんだよ❤,Isn't that what faith is all about? It is a state of forgetfulness; right Mister? Forget about everything else and only think about your new angel goddess.❤
あなたもうっとりした顔をしながら、しこしこしこ❤\n息に包まれながら、手を必死に上下に動かして、\nまるでわたしの息をおちんちんに塗り込んでるみたい❤,Enraptured as you stare vacantly; rubbing helplessly consumed by lust!❤ You have been captivated by my breath; rub faster! As if you were kneading my breath into your cock!❤
すごく浅ましくて、まさに人間の男の子って感じだね❤\nやっぱり人間って下等生物。くすくす❤,Mister you look lost let me help you. *Pshew*❤ *Giggle*❤
うあ、息が当たってぇ❤❤脳がとけるぅ、あううぅ・・・❤,Oh; her breath is spreading across my entire body.❤ My brain is melting...ahhh!❤
ふふ、溶けちゃっていいんじゃない？\nわたしを信仰すること以外、何も考えなくていいんだし❤,Hmmm; why don't you just melt away? You don't have to think about anything but your faith in me.
どうせ元々たいした脳みそじゃないんでしょ？\n自分からおちんちんシコシコしだしちゃうような、\n空っぽの脳みそは溶けちゃった方がいいよ❤,It's not like you had much of a brain to begin with; right Mister? Just let the last bits of your empty brain melt away...❤
ほら、快楽の中でどろどろになろう？\n天使の息で全部溶かしてあげる❤\nふぅーー❤,Come on Mister; let's get lost in pleasure. I'll melt your mind with my angel breath.
あひぃぃ・・・・❤❤,Ahiii・・・・❤❤❤
くすくす❤断末魔の叫びにしては、ずいぶん気持ちよさそうな声❤\n命を奪われる瞬間ぐらい、神様に祈ればいいのに❤,*Giggle*❤ I thought you were desperate to escape sounds like you want to stay.❤ You should pray to God at least for a moment before your life is taken away.❤
あなたが捧げたエナジーのおかげで、わたしの体力は完全に回復。\nもっともっと他の男の子も「救済」してあげるね❤\nふふふ❤,Thanks to the mana you have gracefully given to me; my strength is fully restored. I can now "Bless" even more boys just like you...❤❤❤ *fufufufu*❤
ううっ・・・❤おねがいします、自分も・・・❤,Ugh... ❤Please; give me your blessing...❤
くすくす❤あなたもわたしに「祝福」されたいんだ❤,*Giggle*❤ You want to be "blessed" by me too?❤
仲間がとろとろにされちゃったのを見て、我慢できなくなっちゃった？\n理性が弱くて、すぐ欲望に流されて・・・。\n男ってやっぱり一番の下等生物だね❤,When you saw your friends getting mellowed out; you couldn't stand it any longer; could you Mister? You have a weak sense of reason and are easily swayed by lust... Men truly are the lowest kind of creatures.
わたしって堕天させられる前は、上級の天使だったんだよ。\nそんな天使に祝福してもらえるなんてあなたは幸せものだよ❤\nほら、敬虔なあなたに、わたしの息をプレゼント。ふぅー・・・❤,I was a senior angel before I was corrupted. You are lucky to be blessed by such a powerful angel. Phew...❤
くすくす❤恍惚としちゃってる❤\n期待していたよりも気持ちよかった？,*Giggle*❤ Out of breath Mister?❤ Did it feel better than you were expecting?
あなたの頭の中、わたしのことでいっぱいになっちゃうね。\nおちんちんシコシコして、わたしをじーっと見つめて、\nそれ以外何もない。何も考えなくていい❤,Your head will be full of me. You will be thinking about me; me; me; You won't have to think about anything else.❤
幸せでしょ？それが信仰だよ❤\nあなたは自分の頭を何も使わなくていいの。\nすべて委ねてしまっていいの❤,Aren't you happy Mister? That's what faith is❤ You don't have to use your head for anything. You can forget all about your journey and rest with me.❤
ふふ、そう言われてうれしそうな顔をしちゃってる。\nすごく浅ましくて、すごく愚かで、\n服従を喜ぶなんて下等生物らしい。くすくす❤,Hmmm; you look so happy to be told that. So shallow; so stupid; and so lowly taking pleasure in submission. *giggle*❤
うあ、息が当たってぇ❤❤きもちいいぃ、あううぅ・・・❤,Oh; my breath is on you!
下等生物だって言われてるのに、「きもちいい」しか言えないんだ。\n脳みそもうどろどろに溶けちゃたんだね❤,They say I am a low level monster; but all you can say now is "it feels so good". Your brain has already melted into mush.
どうせ元々たいした脳みそじゃないんでしょ？\n自分からおちんちんシコシコしだしちゃうような、\n空っぽの脳みそだもん❤,You didn't have much of a brain to begin with; did you Mister? You're brain is so empty that your cock takes up all your thoughts.❤
ほら、快楽の中でもっとどろどろになろう？\n命も、理性も、なにもかも・・・。\n天使の息で全部溶かしてあげる❤ふぅーー❤,Come on; let's delve even further in the pleasure. Life; reason; everything... I'll melt it all away with my angel breath.
捧げもののおかげでわたしの体力は全回復。\nもっともっと他の男の子も「救済」してあげるね❤ふふふ❤,Thanks to the offering; my strength is fully restored. I'll be able to "bless" more boys just like you...❤ *fufufu*❤
思った以上に強いんだね・・・。じゃあ、これはどう？\nえいっ。,You're stronger than I thought... How about this then?
狭い洞窟の中だから上下の移動は難しいけど、\n直線的になら素早く飛べるんだよ。\nほら、あなたの顔を捕まえた❤,It's difficult to use my wings in such a small cave; but if it's a straight shot like this. *Fwoosh* Caught your face.❤
強いあなたには・・・❤わたしのキスをプレゼント❤,The strong deserve something special... I will give you a kiss. *smmoch*❤
むぐっ・・❤あうぅっ・・・❤,Ohhhh...❤ Augghh...❤
ふふ、天使の唇はやわらかいでしょ？\n唇が触れ合っているだけで、あなたの全身を包む恍惚感❤\nわたしにキスをされて立っていられるのかな❤,Hmmm; Mister aren't angel lips so soft? Just the touch of my lips is an ecstasy that envelops your whole body.❤ I wonder if you can handle being kissed by me again.❤ *smooch*
そのまま力を抜いていいんだよ。\nそうしたら、わたしの息を口から直接吹き込んで、\nあなたにに天上の快楽を教えてあげる❤,Just relax and stay still.I will blow my breath directly into your mouth and give you the pleasures of heaven.❤
天使の息吹には男を恍惚とさせる力があるの…❤\nそれを直接注ぎ込まれたらどうなるか…❤\nされてみたいでしょ？くすくす・・・❤,The breath of an angel has the power to make a man fall into ecstasy...❤ What would happen if it was poured directly into you? *Giggle*... ❤
理性を振り絞ってとどめを刺した,I gather every ounce of reason I had left to deal the finishing blow.
動くことができなかった,I couldn't move.
きゃあ！\nううっ、キスされてすぐに動けるなんて・・・。,Kya! I can't believe you resisted my kisses....
はい、時間切れ❤\n悩んでないで早く攻撃すればよかったのに❤\nんっ・・・❤ふぅー・・・❤,Yes; time's up Mister...❤ You should have defeated me when you had the chance.
ふふ、逃げたり攻撃したりできないんだ❤\nそれでいいんだよ。人間は天使のくちづけには抗えないの。\nんっ・・・❤ふぅー・・・❤,Hmmm...You can't run away or attack?❤ It's okay. I'll give you the lips of an angel...❤ *Smooch*❤ *fufu*❤
あふっ、ああっ・・・・・・❤,Ahhhh; ahhh...❤
くすくす❤息を吹き込んだとたん、びくんびくんって痙攣しちゃって、\n気持ちよさそうだねー❤,As soon as I blew on it; you just twitched and twitched and twitched.
あと1回でも攻撃できればわたしを倒せたのに、\n口に触れるわたしのぷにぷにの唇と、\n肺にしみこむ甘い息で、武器を持ってた腕もだらーん❤,If you could have attacked me just one more time; you could have defeated me; but with my plump lips touching your mouth and my sweet breath seeping into your lungs; you have dropped your weapon.❤
今まで何をしていたかも、これから何をしないといけないかも、\n何も考えられない❤\nただただ気持ちよさで意識が埋まっていっちゃうね❤,I bet you can't even remember why you came here. Do you even remmeber what you are fighting for?
これが天使の与える恍惚感だよ❤\n人間の身で抗おうと考える方が、不敬だと思うんだ❤\nね、そう思うでしょ？,This is the ecstasy that angels give.
あぐ、あうう・・・・❤ああ、ああ・・・❤,Agh; ahhhhh ・・・・❤ oh; ahhh...❤
ふふ、もう「あうあう」言うことしかできないね❤\nしゃべることもできなくて、役に立たなくなったその唇・・・。\nわたしの口でふさいじゃう❤,All you can say now is "ah ah ah!" Don't worry Mister; You don't have to speak I'll stop you with my mouth.
あなたがカラカラになるまで、キスで蕩けさせてあげる❤\n天使から与えられる恵みに感謝して、イっていいよ❤下等生物❤,I'll kiss you until you're dry...❤ Be thankful for the grace given to you by the angels; cum for this low rank monster.❤
あうう、はへぇ・・・・❤❤,Aww; hehe ・・・・❤❤❤
んふふ、どろどろの精液にエナジーがたっぷり溶けてる❤\n受けてたダメージもこれで回復だね❤,Your semen is so thick and full of powerful mana.
