default,
死神少女,Reaper Girl
EU55_thighJobAnime,
死の世界を司る上級モンスター。肉体を離れた魂は彼女のもとに強く惹き寄せられ、決して逃れることはできない。,An advanced level monster who rules over the underworld. Souls separated from their bodies are irresistibly drawn to her; unable to escape her grasp. 
\n　現世に未練がある魂は冥界に行くことを拒むことがあるが、魂を彼女に愛撫されるとその快感はとてつもないもので、すぐに未練を考えることもできなくなり、恍惚のなか彼女に言われるがまま冥界にわたってしまうのだという。,Souls with lingering attachments to the mortal world often refuse to pass on to the underworld; but when she caresses their souls; the pleasure is so overwhelming that they forget their regrets entirely and cross over in pure ecstasy as she commands them to.
[1].１ターンに１度、LPを500払い相手フィールド上の「ゾンビ」状態のモンスター１体を選択して発動できる。そのモンスターに2000ポイントのダメージを与える。相手フィールド上にモンスターが存在しない場合、この効果は相手プレイヤーを対象に発動することもできる。,[1]. Pay 500 LP and target one "Zombie" status monster on my opponent's field. That monster takes 2000 points of damage. If there are no monsters on the opponent's field; this effect can target the opponent player character  (once per turn).
[2].相手が墓地からモンスターを特殊召喚したとき発動する。そのモンスターに2000ポイントのダメージを与える。,[2]. When an opponent Special Summons a monster from their Graveyard; inflict 2000 points of damage to that monster.
[3].このカードが手札に存在し相手フィールド上にアンデッドタイプのモンスターが2体以上存在する場合、自分フィールド上のモンスター１体をコストにして発動できる。このカードを手札から特殊召喚する。,[3]. If this card is in your hand while there are 2 or more Undead-Type monsters on my opponent's field; you may tribute one monster on your field to Special Summon this card from your hand.
(ふとももコキで弱点攻撃時に拘束攻撃を行う。),(This card performs a restraining attack when attacking a foe with a thigh fetish)
あなた、死に穢されているわね…。,You're tainted by death...
あなたも、死に穢されているわね…。,You too are tainted by death...
あなたのいるべき場所は死の世界よ。\n甘いキスで昇天させて、すぐに送ってあげる…❤,Your place is in the world of death. I'll send you there with a sweet kiss that will make you ascend...❤
あら、キスされても耐えるだなんて、たいしたものね。\nわたしのキス、立っていられなくぐらい気持ちいはずなのに❤,Oh my; you endured my kiss? How impressive. My kisses should feel so good that you can't even stand.❤
