default,
ムニン,Munin
Sexy01,
E級のカードマスター。勝つためには手段を選ばないところがある。\n防御力の高い岩石モンスターを使用し、そこから上級モンスターにつなげる戦術を得意とする。胸は小さいがスタイルのよさには自信があり、体を見せびらかすように露出の高い格好をしている。キスがとてもうまい。夜はおなかが冷えるので厚手のコートをいつも持参している。,An E-Rank cardmaster who will use any means necessary to win. She her battle stratergy specializes in the synergy between her high-defense rock monsters and advanced monsters. Though her chest is small; she's confident in her figure and dresses in revealing outfits to show off her body. She's extremely skilled at kissing. She always brings a thick coat with her at night because her stomach gets cold easily.
ねーねー、そこのアンター。わたしにお金くれない？,Hey hey; you over there. Won't you give me some money?
いま金欠でさー。クエストで稼ぐのもめんどくさいし、\nお兄さんからお金もらえないかなぁって。,I'm totally broke right now. Earning money from quests is such a pain; so I was wondering if a young man like you could spare some cash.
え、なに？500ゴールドも持っていない？,Huh; what? You don't even have 500 gold? 
あ、そ。それなら用ないよ。ばいばーい。,Oh. Well then I have no use for you. Seeya.
そう言うと少女は立ち去ってしまった…。,The girl turned away and left...
もちろんただじゃないよ？\nそうだなー、ちょっとだけイ・イ・コ・トしてあげる❤,But of course it won't be for free; yeah? Let's see… maybe I could do something real nice for you~❤
イイこと…？,Nice things…?
少女はいぶかしがっている僕の耳元に口を寄せると、\n甘えるような声でささやいてきた。,The girl leaned close to my ear as I looked at her with confusion; whispering in a sweet; playful voice.
そうだよぉ、とってもイイコト。\nきっと満足してもらえると思うなぁ❤,That's right; very nice things. I'm sure you'll be satisfied.❤
わたしとぉ、いいことしようよぉ❤おねがーい❤,Let's do something nice together.❤ Pleeeease.❤
僕は……。, I...
あは、ありがとう❤\n困っている女の子を放っておけないなんて、\nやさしいね、お兄さん❤,Aha; thank you.❤ You can't just leave a girl in trouble; can you? You're so kind; mister.❤
それじゃあお礼に、\nキスしながら手コキしてあげる❤,Then as thanks; 'll give you a handjob while kissing you.❤
んーっちゅ❤えるえろー❤,Mmm-chu~❤ Slurp slurp~❤
