default,
試験官,Examiner
EP07_PaizuriAnime,
ギルドに所属する中堅マスター。ハンタータイプのカードをメインに使用し、戦士やフクロウのカードをサポートに用いる。\n常日頃から谷間を露出させた格好で出歩いており、人に見られるのがわりと好きな性格。男の子が彼女の胸に見とれていたりすると、両手で寄せ上げてサービスポーズを見せつけたりしてくるので、性癖がゆがむ男の子が後を絶たない。\nランクはC級だが、試験のために実力を抑えている。,A mid-level cardmaster who works at the guild. She mainly uses soldier and owl cards that are built around supporting her hunter type cards. She enjoys being watched by others; always walking around in outfits that expose her ample cleavage. When boys stare at her tits; she teasingly pushes them together with her hands into a service pose; which drive many young boys mad. Despite being ranked C-class; she holds back her true strength for exams.
導入イベントをスキップしますか？,Do you want to skip the opening event?
はい,Yes
いいえ,No
いくつかのバトルを経て、ランクポイントが十分にたまった僕はギルドの建物を訪れていた。,After several battles; I had accumulated enough rank points and visited the guild building.
あら、また会いましたね、新人マスターさん。ギルドへようこそ。大会での戦いは順調ですか？,Ah; it's the new cardmaster. We meet again! Welcome to the guild. How are the battles in the tournament going?
ランクポイントがたまりました！,I've accumulated some rank points!
おお、本当ですか！,Ooh; is that so!
すばらしいです！まだ大会も始まったばかりだというのに、良いすべり出しですね！,That's wonderful to hear! The tournament has only just begun; and yet you're already off to a good start!
それではギルドリングをこちらにお渡しください。ポイントを確認させていただきます。,Now then. Please hand me your guild ring. I shall confirm the number points you've collected.
ありがとうございます。確かに指輪には必要量のランクポイントが貯まっていますね。,Thank you. You certainly have the required rank points stored in your ring.
これであなたはFランクからEランクに昇格できるわけですが…。,With this; you can be promoted from F rank to E rank...
ランク昇格の際には、１つ試験をこなしてもらわないといけません。,However; I must add in order to qualify for  a rank promotion; you must also pass a test.
試験の内容はランクごとに異なります。Eランクの昇格試験は、ギルド職員との戦闘試験です。,The content of the test varies by rank. The E-rank promotion test is a battle test with guild staff.
担当職員を呼んできますので、少々お待ちください。,I'll call the staff member responsible for this; so please wait a moment.
やっほー！わたしがEランクの昇格試験を担当する試験官だよ。よろしくね！,Hi there! I'll be your examiner for the E-rank promotion test. It's nice to meet you!
ギルドに入りたてのあなたに、Fランクに見合った戦闘力があるかどうか、試させてもらうよ。,Considering you've joined the guild; I'll test whether you have the combat power befitting an F rank.
剣士とハンターを組み合わせたわたしのデッキにうまく対処できるかな？さあ、バトルを始めよう！,Do you think you have what it takes to deal with my swordswoman and hunter deck? If you're ready; let's start the battle!
お、また来たね。ランク昇格試験、もう一回受ける？,Oh; you've come again. Are you here to take the rank examination test again?
わたしのデッキは、1体1体の戦闘力はそこまでないけど盤面にカードを多く出すから、魔法の全体攻撃とかを使うと戦いやすいと思うよ。,The cards in my deck don't have much power; but I can use them to easily populate my field; so magic cards that are good at hitting many cards at once might give you an advantage.
いてて、これはお見事。\n新人マスターくん、なかなか強いねぇ。,Ouch! Nicely done. You’re quite strong for a rookie cardmaster; aren't you?
うん、これだけの実力があれば十分だよ。\nあなたは試験に合格。これからEランクだね！,Mhm. You've passed with flying colours. You're now an E Rank cardmaster!
Eランク昇格おめでとうございます！さすがですね。,Congratulations on your E Rank promotion! I had no doubts about you.
それではギルドリングに特殊な装置で魔力を込めます。\nちょっと待っていてくださいね。,Now; I'll imbue your Guild Ring with magic using a special device. Please wait a moment.
戻ってきた受付さんにギルドリングを返してもらうと、指輪にはめられた宝石の色が濃い緑色に変化していた。,When the receptionist returned your Guild Ring; the gem set in the ring changed to a deep green color.
どうです、指輪の色が変わっているでしょう？\nこれがEランクの証です。,What do you think? See how the color of your ring has changed? This proves that you're now an E-Rank cardmaster.
Aランクになるとそれは奇麗な赤色になるんですよ。\nあなたの指輪がその色になるのが今から楽しみです。,When you reach A Rank; it will turn a beautiful red. I'm looking forward to seeing you when that time comes!
へぇー、わたしに何回も負けたのにけっこう言うじゃん❤,Hehe...! You've lost to me several times; yet you still speak so confidently...❤
ま、気持ちいいことされても癖にならないで最後には勝てたんだから、\n将来性はあるのかな？くすくす❤,Well; even though you experienced things that felt good; you still didn't get addicted to it and managed to win in the end... perhaps your future has some potential after all? *Giggle*❤
ううっ…。それは…。,Oogh... That's...
こら。あんまり茶化しちゃかわいそうですよ。\n試験に無事合格したんですから今は応援しましょ。,Come now. It's not fair to tease him like that. He managed to pass the test safely; so let's do our best to support him.
ふふ、さすがに試験をすぐクリアしただけはありますね。\nとても頼もしいです。,Fufu. As I expected; you cleared the test immediately; I'm glad to know that we can rely on you.
それでは引き続き大会でのバトル頑張ってください！,Well then; please keep up the good work in the tournement!
僕は色の変わったギルドリングをウキウキした心地で眺めながら、宿への帰路についた。,As I gazed eagerly at the newly colored guild ring; I made my way back to the inn.
ほとんどカードも使えなかった昔を思えば、とても順調だ。これも師匠がしっかり鍛えてくれたからだろう。,Considering in the past there were times when I could barely use any cards; things are going quite smoothly now. It's probably because my mentor trained me well.
試験官とのバトルを終えたからか、体はすっかり疲れていた。僕はこの先のことをうつらうつらと思いながら、眠りについたのだった。,Probably due to the battle with the examiner; my body was completely exhausted. I fell asleep; drowsily thinking about what lay ahead.
…………。,...
…。この景色。いつも見る夢か…。,...This scene. It's the same dreamI have every every time...
うう、怖いよぉ、お兄ちゃん…。\nおとうさんたちは？外はどうなっているの？,Ogh; I'm scared Big Brother... What about Dad and the others? What's happening outside?
今日はお祭りだったはずなのに…。ううっ…。ひぐっ…。,Today was supposed to be the festival... Ogh… Sob…
ここに隠れてろって言われたけど、おとうさんたちが心配だよ。\nどうしよう、お兄ちゃん…。,They told us to hide here; but I'm worried about Dad and the others. What should we do...?
あは、この家、人間の匂いがする。\nまだ捕まえてないやつがいたんだぁ❤,Ahaha! This house smells of humans. Seems like there are still some left to catch~❤
この匂いからすると男の子ですかねぇ。\n小さい子の匂いって女か男か分かりづらいので\nはっきりとは言えないですけど。,Judging by the scent; I'd say it's a boy. It's hard to tell with small children; though; whether they're male or female.
ま、見つけちゃえばすぐ分かることだし、さっさと探しちゃいましょ。うふふ❤,Well; once we find them it'll be obvious. Let's hurry up and hunt them down! *Giggle*❤
サキュバスだ…。このままじゃ食べられちゃう…。,Succubi... If we stay here; we'll be eaten...
狭い戸棚に二人で隠れながら、息をひそめてサキュバスたちの様子をうかがう。,We hid in the cramped cupboard together; holding our breath and watching the succubi.
必死に冷静を装いながらも、妹の横で僕の手は震えていた。手にはお父さんから託された1枚のカードがあった。,I tried desperately to maintain my calm demeanor; but my hands were shaking beside my sister. In my hand; a single card our father entrusted to me.
今日は僕の洗礼式の日。そのお祝いにお父さんにもらった「ブラックナイト」のカード。,"Today's was day of my initiation ceremony; and to comemorate the occasion; my father gave me the ""Black Knight"" card."
もしこのカードを使うことができたら、あの魔族たちも倒すことができるかもしれない。けれど、まだカードの使い方もちゃんと分からない僕には、ブラックナイトを召喚できる自信はなかった。,If I could use this card; I might have a chance at defeating those demons. But I didn't yet fully understand how to use cards properly; and I wasn't confident I could summon the Black Knight either.
妹のためにも、行かなくちゃいけない。でも…。,For my sisters sake; I have to go and do it; but…
お兄ちゃん…。手ふるえてる…。,Hey; Big Brother… Your hands are shaking…
このままじゃ二人とも食べられちゃうよね…。\nそれぐらいなら、うん…。,I-If this keeps up; we'll both get eaten; right...? In that case; I...
わたしがお兄ちゃんを守る。,I'll protect you; Big Brother.
そう言うや否や、妹は戸棚から外へと飛び出していった。そしてわざとらしい演技でサキュバスたちに向かって叫んだ。,No sooner had she said that; than my sister darted out from the cupboard; screaming in an exaggerated manner towards the succubi.
きゃあ！サキュバスがいる！\nわたしが１人のときに来るなんて、こわいよぉ！,Kyaah! Succubi are here! How scary of them to come when I'm all alone and by myself!
あら、自分から出てきてくれるなんて。探す手間が省けたわ❤,Oh my; how convenient of you to come out on your own. Saves us the trouble of searching~❤
男の子じゃなくて女の子１人でしたか。残念。,And it's not a boy; but a single girl instead? Ah; that's a shame.
男はみんなその場で搾り尽くしていいって言われてるんですけど、\n女の子なら女王様のところに連れていかないといけないですね。,We were told that all men are to be drained on the spot; but if it's a girl; then she has to be taken to the queen.
そこのお嬢ちゃん。動いちゃダメよ？ほらわたしの目を見なさい。,Hey there little lady; don't move; okay? Look into my eyes.
あうぅう…❤なにこれぇ…❤,Auu…❤ What is…❤
それじゃあいいところに運んでいってあげますからねぇ。くすくす❤,Now; we're goning to take you somewhere nice; OK? *Giggle*❤
僕は連れていかれる妹を見ても何もできなかった。妹が戸棚から飛び出す瞬間、止めることだってできたはずなのに、あっけにとられたまま、それをただ見ていた。,I couldn't do anything as I saw them take my sister away. The moment she jumped out of the cupboard; I should've stopped her; but I was stunned and could only watch.
僕は誰もいなくなった家で、戸棚の奥に隠れ続けて、そのまま夜を過ごした。怖さで震え、兄として妹を助けられなかったことの悔しさにしばらく泣いていたんじゃないかと思う。,I hid in the back of the cupboard and spent the night there; trembling with fear. I cried for a while; perhaps out of frustration for not being able to protect my sister as a brother should.
……それからどれだけ時間が経ったのか。何日か後、戸棚の中で弱り切っていた僕を、ギルドからサキュバス討伐に派遣されたコノハ師匠が助けてくれた。,I don't know how much time passed after that. A few days later; Master Konoha; who had been sent by the guild to hunt succubi; found and rescued me from the back of the cupboard; where I had grown weak.
師匠が抱きとめてくれたとき、僕はすでに気を失っていたという。,By the time Master Konoha took me into her arms; I had already lost conciousness.
何度も何度も夢に見る、自分の情けない過去。兄としてあまりに無力だった苦い記憶。,I have had been haunted with repeated dreams about my past. The bitter memory of being a powerless; helpless older brother.
でも今は違う。無力なんかじゃない。だからこそ僕は、必ず…。,But now things are different. I am not powerless anymore. That's why I must…
朝、目を覚ますと手には汗がびっしょりついていた。,When I woke up in the morning; my hands were drenched in sweat.
村が襲われたのはもう何年も昔の話だ。時間の経過を考えれば、妹は無事ではないかもしれない。サキュバスにエナジーを吸い尽くされたか、あるいはサキュバス化させられて、既に人間ではなくなっているのかも…。,It has already been many years since the village was attacked. Considering how much time had passed; my sister likely isn't safe. She might have been drained of her energy by succubi; or maybe they even turned her into a succubus herself; no longer human...
それでもきっと僕は、Aランクになって妹を助けに行く。それがどれだけわずかな可能性であったとしても…。僕は決意を新たにしたのだった。,Still; I will become an A-rank and rescue my sister. No matter how unlikely it may be... I rallyed my thoughts and stood determined.
あなたのターンからだね！どんなカードで攻めてくるか、楽しみ！,It's your turn to start; isn't it? Looking forward to seeing what cards you'll attack with!
わたしのターンからだね！まずはどうしよっかなー。,Looks like it's my turn! I wonder what I should do first...?
とりあえずドローしてっと。,First of all; I'll draw a card.
わたしのターン、ドロー。,My turn. Draw.
{使用カード}を上級召喚するよ。,Special summon {使用カード}!
